archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2024-04,Abril,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05
ABLD,0.20056956521739128,0.23054675707999225,0.053,1.767,0.076,0.092,0.2145,138.39299999999997,0.20056956521739133,4.613100000000001,0.10766666666666666,0.08683333333333333,0.08376666666666667,0.08666666666666667,0.08516666666666667,0.07856666666666666,0.08613333333333334,0.14046666666666668,0.17309999999999998,0.11989999999999999,0.15946666666666667,0.19756666666666664,0.23373333333333332,0.29036666666666666,0.4012,0.44029999999999997,0.2796666666666667,0.22716666666666666,0.15216666666666664,0.2072,0.3102,0.3455333333333333,0.3202666666666667,3.23,2.605,2.513,2.6,2.555,2.3569999999999998,2.584,4.214,5.193,3.597,4.784,5.927,7.012,8.711,12.036,13.209,8.39,6.8149999999999995,4.5649999999999995,6.216,9.306,10.366,9.608,3.23,2.605,2.513,2.6,2.555,2.3569999999999998,2.584,4.214,5.193,3.597,4.784,5.927,7.012,8.711,12.036,13.209,8.39,6.8149999999999995,4.5649999999999995,6.216,9.306,10.366,9.608,0.11956666666666667,0.23370555555555558,0.274825,0.2958,0.09002,14.348,42.067,32.979,35.495999999999995,13.502999999999998,0.04981003904344313,0.12101211908266374,0.08652770919508405,0.04967906280919928,0.011641767625983698,0.1999217391304348,0.2831130434782609,0.14732608695652175,0.18606521739130433,0.17028260869565218,0.20554347826086958,0.1912608695652174,22.991,32.558,13.554,17.118,15.666,18.91,17.596,0.17796417675328713,0.31660323737462726,0.1567531908079573,0.21535688776202547,0.1970276003472976,0.25567335844928346,0.22207690330031019,0.2013577075098814,0.1984021739130435,101.887,36.506,0.2276636143456224,0.23891720951139697,0.2005695652173913,138.393,0.23054675707999206,138.393,138.393,25.337,34.034,31.025,37.389,10.608
AJVG,0.21055217391304348,0.332725466452068,0.029,2.94,0.047,0.066,0.20175,145.281,0.21055217391304348,4.842699999999999,0.10026666666666667,0.0708,0.07980000000000001,0.0719,0.06706666666666666,0.0914,0.2657333333333333,0.7822,0.49663333333333337,0.15689999999999998,0.13173333333333334,0.1971,0.18473333333333333,0.19783333333333336,0.1739,0.1646,0.19386666666666666,0.18163333333333334,0.20716666666666667,0.19263333333333332,0.33046666666666663,0.3108,0.19353333333333333,3.008,2.124,2.394,2.157,2.012,2.742,7.9719999999999995,23.466,14.899000000000001,4.707,3.952,5.913,5.542,5.9350000000000005,5.217,4.938,5.816,5.449,6.215,5.779,9.914,9.324,5.806,3.008,2.124,2.394,2.157,2.012,2.742,7.9719999999999995,23.466,14.899000000000001,4.707,3.952,5.913,5.542,5.9350000000000005,5.217,4.938,5.816,5.449,6.215,5.779,9.914,9.324,5.806,0.40899166666666664,0.1737,0.1868166666666667,0.2568583333333333,0.07796666666666667,49.079,31.266,22.418,30.823,11.695,0.2742141415356837,0.07049840717161121,0.07608064906000085,0.06730291019837153,0.009989495278447941,0.2618,0.21179130434782606,0.2429021739130435,0.24278260869565216,0.19652173913043477,0.14580434782608695,0.15914130434782608,30.107,24.355999999999998,22.347,22.336,18.08,13.414,14.641,0.4243097428703904,0.3093919190490358,0.3439828471248258,0.33859456860974746,0.33012386880228173,0.21424732750614656,0.30389354633814175,0.23167193675889328,0.15247282608695653,117.226,28.055,0.3527571838747603,0.2622852893854993,0.21055217391304348,145.281,0.33272546645206774,145.281,145.281,58.387,30.534,28.82,24.162,3.378
ATF,0.16936231884057973,0.1852846608456505,0.051,1.969,0.07725,0.1205,0.181,116.86000000000001,0.1693623188405797,3.895333333333333,0.12073333333333333,0.09863333333333334,0.0925,0.0814,0.0752,0.0859,0.09126666666666666,0.09369999999999999,0.0944,0.1165,0.15423333333333333,0.15706666666666666,0.21393333333333334,0.46723333333333333,0.5536,0.2338333333333333,0.17843333333333333,0.13963333333333333,0.13253333333333334,0.13836666666666667,0.17846666666666666,0.21236666666666668,0.1854,3.622,2.959,2.775,2.442,2.2560000000000002,2.577,2.738,2.811,2.832,3.495,4.627,4.712,6.418,14.017,16.608,7.015,5.353,4.189,3.976,4.151,5.354,6.371,5.562,3.622,2.959,2.775,2.442,2.2560000000000002,2.577,2.738,2.811,2.832,3.495,4.627,4.712,6.418,14.017,16.608,7.015,5.353,4.189,3.976,4.151,5.354,6.371,5.562,0.09131666666666666,0.2770944444444445,0.17110833333333336,0.17865,0.09369333333333332,10.957999999999998,49.876999999999995,20.532999999999998,21.438,14.054,0.012060476118186149,0.16866402281682746,0.04486905095246259,0.005432083024735627,0.02524561661185416,0.18729565217391306,0.18011304347826088,0.15982608695652176,0.15920652173913044,0.16084782608695652,0.14825,0.18282608695652175,21.539,20.713,14.704,14.647,14.798,13.639,16.82,0.21934227734309092,0.18512412930093128,0.14227728759271313,0.1250356026698856,0.15615805847279032,0.17624930052078489,0.2528727955723268,0.17075296442687746,0.16553804347826087,86.401,30.459,0.1720535037699367,0.2180485198636541,0.1693623188405797,116.86,0.18528466084565054,116.86,116.86,26.152,25.511,30.136,26.455,8.606
FMB,0.1895985507246377,0.20764170952256997,0.01,1.589,0.048,0.1425,0.237,130.823,0.18959855072463772,4.360766666666667,0.1323,0.09823333333333334,0.06196666666666666,0.08339999999999999,0.0847,0.08433333333333334,0.08066666666666666,0.08906666666666667,0.18163333333333334,0.3017333333333333,0.2667333333333334,0.2971333333333333,0.32386666666666664,0.33573333333333333,0.31930000000000003,0.2512666666666667,0.22766666666666666,0.23826666666666665,0.16696666666666668,0.21026666666666666,0.22273333333333334,0.15166666666666667,0.15113333333333331,3.969,2.947,1.859,2.502,2.541,2.5300000000000002,2.42,2.672,5.449,9.052,8.002,8.914,9.716,10.072,9.579,7.538,6.83,7.148,5.009,6.308,6.682,4.55,4.534,3.969,2.947,1.859,2.502,2.541,2.5300000000000002,2.42,2.672,5.449,9.052,8.002,8.914,9.716,10.072,9.579,7.538,6.83,7.148,5.009,6.308,6.682,4.55,4.534,0.108925,0.30741666666666667,0.22104166666666666,0.18395,0.09212,13.071,55.335,26.525,22.073999999999998,13.818000000000001,0.08194134394789965,0.04834459340568969,0.07072625091145279,0.0711663291738595,0.022733233510874345,0.21844347826086954,0.28751304347826084,0.1841086956521739,0.14525,0.13399999999999998,0.14846739130434783,0.17771739130434785,25.121,33.064,16.938,13.363,12.328,13.659,16.35,0.2583755661450557,0.2985221601347765,0.15537331552200964,0.14091550152991886,0.12158757527617062,0.11836899385061882,0.1954881366281614,0.1992371541501976,0.16309239130434783,100.814,30.009,0.221328167000779,0.16182020362874086,0.1895985507246377,130.823,0.20764170952257002,130.823,130.823,31.578,28.942,29.457,33.354,7.492
GPC,0.14953478260869565,0.22089431522367986,0.025,2.567,0.053,0.076,0.128,103.179,0.14953478260869565,3.4393000000000002,0.06896666666666666,0.08180000000000001,0.0783,0.0639,0.06673333333333333,0.06533333333333333,0.0997,0.3000333333333333,0.2967,0.1532,0.1189,0.06856666666666666,0.06723333333333333,0.12279999999999999,0.30119999999999997,0.22296666666666667,0.164,0.12773333333333334,0.10756666666666666,0.19796666666666668,0.28236666666666665,0.2521333333333333,0.1312,2.069,2.454,2.3489999999999998,1.917,2.002,1.96,2.991,9.001,8.901,4.596,3.567,2.057,2.017,3.6839999999999997,9.036,6.689,4.92,3.832,3.227,5.939,8.471,7.564,3.936,2.069,2.454,2.3489999999999998,1.917,2.002,1.96,2.991,9.001,8.901,4.596,3.567,2.057,2.017,3.6839999999999997,9.036,6.689,4.92,3.832,3.227,5.939,8.471,7.564,3.936,0.19044166666666668,0.13864999999999997,0.1555666666666667,0.21591666666666665,0.07193999999999999,22.853,24.957,18.668,25.91,10.791,0.151434032190729,0.11228027916026151,0.0758306253651449,0.13338500995620794,0.04987101773303724,0.14885217391304348,0.1612,0.1436086956521739,0.11620652173913044,0.13951086956521738,0.13895652173913045,0.19566304347826088,17.118,18.538,13.212,10.691,12.834999999999999,12.784,18.001,0.21385850558698694,0.24399328434819173,0.2846719321158019,0.1429217520524667,0.19251593309629947,0.19085095231870225,0.24273434477982384,0.1430711462450593,0.16730978260869564,72.394,30.785,0.22122865479061635,0.21959012168838993,0.14953478260869565,103.179,0.22089431522367986,103.179,103.179,10.893,32.24,27.081,26.902,6.063
JACL,0.10381884057971015,0.07695485600158176,0.036,0.759,0.065,0.09,0.12,71.635,0.10381884057971018,2.387833333333333,0.11676666666666667,0.08346666666666666,0.07593333333333334,0.07923333333333332,0.07806666666666667,0.0746,0.07023333333333333,0.08380000000000001,0.0852,0.12376666666666666,0.11483333333333333,0.09176666666666668,0.09226666666666668,0.15863333333333335,0.2558333333333333,0.12583333333333332,0.09369999999999999,0.0898,0.09316666666666666,0.0948,0.08546666666666666,0.10183333333333335,0.11883333333333333,3.503,2.504,2.278,2.377,2.342,2.238,2.1069999999999998,2.5140000000000002,2.556,3.713,3.445,2.753,2.7680000000000002,4.759,7.675,3.775,2.811,2.694,2.795,2.844,2.564,3.055,3.565,3.503,2.504,2.278,2.377,2.342,2.238,2.1069999999999998,2.5140000000000002,2.556,3.713,3.445,2.753,2.7680000000000002,4.759,7.675,3.775,2.811,2.694,2.795,2.844,2.564,3.055,3.565,0.07845833333333332,0.13951666666666665,0.10062499999999999,0.10023333333333334,0.08669333333333333,9.415,25.113000000000003,12.075000000000001,12.027999999999999,13.004,0.004682903165168862,0.04547753898488358,0.031654599407031296,0.008270454210154212,0.002925564784861731,0.09973913043478261,0.10532173913043479,0.10522826086956523,0.09683695652173914,0.09581521739130434,0.11290217391304348,0.11153260869565217,11.47,12.112,9.681000000000001,8.909,8.815,10.387,10.261,0.05419394783269958,0.08131782435820821,0.07395143985266851,0.058489085517738994,0.04594739690526335,0.11043431340683817,0.09692768926868148,0.10076482213438735,0.11221739130434782,50.987,20.648,0.06445127123670802,0.10361871321666105,0.10381884057971015,71.635,0.07695485600158175,71.635,71.635,17.804,15.931000000000001,16.369,17.054,4.477
JALG,0.30273478260869563,0.29743119965324083,0.057,1.804,0.081,0.173,0.3995,208.887,0.3027347826086956,6.962899999999999,0.18656666666666666,0.0901,0.10133333333333333,0.09176666666666668,0.08956666666666667,0.09926666666666667,0.10363333333333333,0.27746666666666664,0.24576666666666666,0.24286666666666665,0.27136666666666664,0.2607666666666667,0.3329333333333333,0.5835666666666667,0.6420333333333333,0.6123333333333334,0.28813333333333335,0.37013333333333337,0.22313333333333332,0.3005333333333333,0.5236666666666666,0.6189666666666667,0.40700000000000003,5.5969999999999995,2.703,3.04,2.753,2.6870000000000003,2.978,3.109,8.324,7.373,7.286,8.141,7.823,9.988,17.507,19.261,18.37,8.644,11.104000000000001,6.694,9.016,15.709999999999999,18.569,12.21,5.5969999999999995,2.703,3.04,2.753,2.6870000000000003,2.978,3.109,8.324,7.373,7.286,8.141,7.823,9.988,17.507,19.261,18.37,8.644,11.104000000000001,6.694,9.016,15.709999999999999,18.569,12.21,0.18153333333333332,0.3889222222222222,0.3734333333333334,0.46254166666666663,0.11186666666666667,21.784,70.006,44.812000000000005,55.505,16.78,0.06451111882080136,0.09921283875520183,0.06315978889665146,0.08237991656793918,0.04882089705446858,0.3224434782608696,0.2884434782608696,0.29708695652173917,0.29717391304347823,0.3051304347826087,0.2595217391304348,0.34798913043478263,37.081,33.171,27.332,27.34,28.072,23.876,32.015,0.33512867890765785,0.3142711755431435,0.27685008646819786,0.27725862123341816,0.26841128918591756,0.2746203564587985,0.31563591818357306,0.3023636363636364,0.3037554347826087,152.996,55.891,0.29739285978534363,0.29834584027175615,0.30273478260869563,208.887,0.29743119965324083,208.887,208.887,45.337,49.808,48.621,53.461,11.66
JLG,0.11069275362318842,0.10607857032592417,0.033,1.212,0.049,0.071,0.14,76.37800000000001,0.11069275362318841,2.5459333333333327,0.1029,0.06246666666666666,0.051133333333333336,0.054599999999999996,0.05226666666666667,0.053599999999999995,0.05076666666666666,0.049100000000000005,0.0646,0.1818,0.13026666666666667,0.08306666666666666,0.09353333333333333,0.14303333333333332,0.14656666666666668,0.18009999999999998,0.1318,0.11396666666666667,0.13616666666666666,0.13836666666666667,0.1781,0.20536666666666667,0.14236666666666667,3.087,1.8739999999999999,1.534,1.638,1.568,1.6079999999999999,1.523,1.473,1.938,5.454,3.908,2.492,2.806,4.2909999999999995,4.397,5.403,3.9539999999999997,3.419,4.085,4.151,5.343,6.1610000000000005,4.271,3.087,1.8739999999999999,1.534,1.638,1.568,1.6079999999999999,1.523,1.473,1.938,5.454,3.908,2.492,2.806,4.2909999999999995,4.397,5.403,3.9539999999999997,3.419,4.085,4.151,5.343,6.1610000000000005,4.271,0.05451666666666667,0.1297111111111111,0.14050833333333332,0.16605,0.06467333333333333,6.542,23.348,16.861,19.926000000000002,9.700999999999999,0.019650176236894575,0.05789094228451424,0.0713784301945747,0.03432967361636686,0.009118437571203765,0.12590434782608695,0.1304695652173913,0.11469565217391305,0.1126086956521739,0.09103260869565218,0.09416304347826088,0.09722826086956522,14.479,15.004,10.552,10.36,8.375,8.663,8.945,0.10815088338715416,0.1218384983477467,0.0955903277017055,0.14777864025954934,0.10250290278247835,0.07371362424563495,0.05810167353245395,0.11614624505928854,0.09569565217391304,58.77,17.608,0.11684427461636698,0.06620455783600453,0.11069275362318841,76.378,0.10607857032592419,76.378,76.378,14.112,18.357,20.413,17.997,5.499
JMM,0.23244057971014495,0.2489896217367498,0.048,2.851,0.123,0.1685,0.2365,160.38400000000001,0.23244057971014492,5.346133333333333,0.20203333333333334,0.13026666666666667,0.11683333333333333,0.11893333333333334,0.10400000000000001,0.12336666666666667,0.11270000000000001,0.13496666666666668,0.17273333333333335,0.14703333333333332,0.18603333333333333,0.32403333333333334,0.3326,0.5107,0.4826,0.22086666666666668,0.2138,0.21566666666666665,0.21116666666666667,0.24756666666666668,0.3158,0.42746666666666666,0.29496666666666665,6.061,3.908,3.505,3.568,3.12,3.701,3.3810000000000002,4.049,5.182,4.411,5.5809999999999995,9.721,9.978,15.321,14.478,6.626,6.414,6.47,6.335,7.4270000000000005,9.474,12.824,8.849,6.061,3.908,3.505,3.568,3.12,3.701,3.3810000000000002,4.049,5.182,4.411,5.5809999999999995,9.721,9.978,15.321,14.478,6.626,6.414,6.47,6.335,7.4270000000000005,9.474,12.824,8.849,0.13594166666666668,0.33049999999999996,0.21537499999999998,0.32145,0.13441333333333333,16.313000000000002,59.49,25.845,38.574,20.162000000000003,0.0072698450296148995,0.20204089245392334,0.00977042409216248,0.08472905322857267,0.013453222856150944,0.21100869565217392,0.21533913043478262,0.3005869565217391,0.19421739130434781,0.2001413043478261,0.28941304347826086,0.22601086956521738,24.266000000000002,24.764,27.654,17.868,18.413,26.626,20.793,0.14471426751349697,0.1737772766400435,0.46841327090024965,0.09923131219827967,0.14765236730884593,0.31325151051349637,0.21129332221445699,0.2232509881422925,0.2577119565217391,112.965,47.419,0.24119249583792324,0.26833943651575654,0.23244057971014495,160.38400000000001,0.2489896217367497,160.38400000000001,160.38400000000001,39.959,38.527,40.007,32.346,9.545
MANA,0.24092318840579705,0.22997130801344093,0.055,2.102,0.111,0.1515,0.279,166.23699999999997,0.24092318840579707,5.541233333333335,0.24293333333333333,0.14676666666666666,0.1359,0.11006666666666667,0.11196666666666667,0.09936666666666666,0.09526666666666667,0.13023333333333334,0.1333,0.17770000000000002,0.2025,0.2767666666666667,0.22496666666666665,0.25033333333333335,0.5471333333333334,0.3999666666666667,0.21716666666666665,0.20049999999999998,0.2287,0.22683333333333333,0.2849333333333333,0.6149666666666668,0.4829666666666667,7.288,4.403,4.077,3.302,3.359,2.981,2.858,3.907,3.999,5.331,6.075,8.303,6.749,7.51,16.414,11.999,6.515,6.015,6.861,6.805,8.548,18.449,14.489,7.288,4.403,4.077,3.302,3.359,2.981,2.858,3.907,3.999,5.331,6.075,8.303,6.749,7.51,16.414,11.999,6.515,6.015,6.861,6.805,8.548,18.449,14.489,0.11454166666666665,0.27990000000000004,0.26158333333333333,0.4024250000000001,0.14952666666666664,13.745000000000001,50.382000000000005,31.39,48.291,22.429000000000002,0.011316801697492516,0.06493205790837803,0.14074620271745142,0.12583360649640263,0.03749841665770782,0.23546956521739132,0.2594173913043478,0.2184565217391304,0.21552173913043476,0.24255434782608698,0.2378695652173913,0.27391304347826084,27.079,29.833,20.098,19.828,22.315,21.884,25.2,0.20627197689352697,0.26139554562738204,0.2175321834490713,0.1670665116127008,0.2750270861438139,0.20947801255707924,0.2530456090659518,0.2354802371541502,0.2558913043478261,119.153,47.084,0.2290874635271214,0.2323537653529618,0.2409231884057971,166.237,0.2299713080134409,166.237,166.237,38.997,39.216,39.347,38.947,9.73
MBGV,0.16535797101449276,0.18015735978097105,0.045,1.11,0.068,0.083,0.1745,114.09700000000001,0.16535797101449273,3.8032333333333335,0.1537666666666667,0.1092,0.08703333333333334,0.0745,0.07156666666666665,0.07783333333333334,0.07909999999999999,0.13936666666666667,0.1837,0.2929,0.20183333333333334,0.18126666666666666,0.11413333333333334,0.17463333333333333,0.2249,0.20743333333333333,0.23463333333333333,0.13796666666666668,0.14023333333333332,0.14316666666666666,0.25456666666666666,0.2512333333333333,0.26826666666666665,4.613,3.2760000000000002,2.611,2.235,2.147,2.335,2.3729999999999998,4.181,5.511,8.786999999999999,6.055,5.438,3.424,5.239,6.747,6.223,7.039,4.139,4.207,4.295,7.6370000000000005,7.537,8.048,4.613,3.2760000000000002,2.611,2.235,2.147,2.335,2.3729999999999998,4.181,5.511,8.786999999999999,6.055,5.438,3.424,5.239,6.747,6.223,7.039,4.139,4.207,4.295,7.6370000000000005,7.537,8.048,0.12,0.19827777777777778,0.18006666666666668,0.22930833333333334,0.09921333333333335,14.399999999999999,35.69,21.608,27.517000000000003,14.882000000000001,0.04140863395528308,0.05690462030836846,0.04641310198292616,0.055893991801319626,0.0672424105409983,0.1675565217391304,0.14435652173913044,0.15022826086956523,0.14916304347826087,0.14769565217391306,0.13796739130434782,0.26523913043478264,19.269,16.601,13.821,13.723,13.588000000000001,12.693,24.402,0.17795244738877639,0.1511503951457219,0.16046731913766085,0.15484790674595017,0.16323264185053205,0.1485780551946606,0.2584258930297939,0.1521778656126482,0.2016032608695652,77.002,37.095,0.1616848664036008,0.2196783047661673,0.16535797101449273,114.097,0.1801573597809711,114.097,114.097,15.213000000000001,31.425,31.953,28.486,7.02
MTTA,0.2394304347826087,0.1898377779740104,0.066,1.472,0.107,0.1975,0.275,165.207,0.2394304347826087,5.506900000000001,0.4639,0.4412333333333333,0.3346666666666666,0.2633,0.13406666666666667,0.1292,0.1779,0.22833333333333333,0.19416666666666668,0.16986666666666667,0.20423333333333332,0.23666666666666666,0.21843333333333334,0.25076666666666664,0.31293333333333334,0.2628666666666667,0.19640000000000002,0.17206666666666667,0.17603333333333332,0.17093333333333333,0.16076666666666664,0.21436666666666668,0.3938,13.917,13.237,10.04,7.899,4.022,3.876,5.337,6.85,5.825,5.096,6.127,7.1,6.553,7.523,9.388,7.886,5.892,5.162,5.281,5.128,4.8229999999999995,6.431,11.814,13.917,13.237,10.04,7.899,4.022,3.876,5.337,6.85,5.825,5.096,6.127,7.1,6.553,7.523,9.388,7.886,5.892,5.162,5.281,5.128,4.8229999999999995,6.431,11.814,0.18240000000000003,0.23215,0.2018416666666667,0.23496666666666666,0.3274333333333333,21.887999999999998,41.787,24.221,28.196,49.115,0.01297463241574175,0.06929344890122836,0.0592507079302891,0.12219661008741786,0.07827973125334647,0.25350434782608694,0.21880869565217392,0.21304347826086958,0.21993478260869564,0.24183695652173912,0.2321630434782609,0.29835869565217393,29.153,25.163,19.6,20.233999999999998,22.249,21.359,27.449,0.16036118082087047,0.17047260909025275,0.16848242566866528,0.1617209511152545,0.15815219246613132,0.18510236414647294,0.29151316414290734,0.23003754940711463,0.2652608695652174,116.399,48.808,0.1641683167088352,0.2457581275527955,0.2394304347826087,165.207,0.1898377779740104,165.207,165.207,40.271,33.514,37.671,43.03,10.721
PAA,0.2937985507246377,0.36587003688139286,0.03,2.935,0.056,0.1395,0.42374999999999996,202.721,0.2937985507246376,6.757366666666667,0.22230000000000003,0.1422,0.08020000000000001,0.07633333333333334,0.06606666666666666,0.049433333333333336,0.0598,0.2936333333333333,0.2876666666666666,0.2956666666666667,0.46626666666666666,0.3796,0.3828666666666667,0.3345333333333333,0.5196666666666666,0.36316666666666664,0.28053333333333336,0.4537333333333333,0.4053333333333333,0.29573333333333335,0.34900000000000003,0.5116,0.44203333333333333,6.6690000000000005,4.266,2.406,2.29,1.982,1.483,1.794,8.809,8.629999999999999,8.870000000000001,13.988,11.388,11.486,10.036,15.59,10.895,8.416,13.612,12.16,8.872,10.47,15.348,13.261,6.6690000000000005,4.266,2.406,2.29,1.982,1.483,1.794,8.809,8.629999999999999,8.870000000000001,13.988,11.388,11.486,10.036,15.59,10.895,8.416,13.612,12.16,8.872,10.47,15.348,13.261,0.1726333333333333,0.39643333333333336,0.37569166666666665,0.3995916666666667,0.11742,20.715999999999998,71.358,45.083,47.95099999999999,17.613,0.18950838930835018,0.07429795476592464,0.06838473068785676,0.13770665488187708,0.051369446861221774,0.2464608695652174,0.3248260869565217,0.31717391304347825,0.2560326086956522,0.2523913043478261,0.32007608695652173,0.3437065217391304,28.343,37.355,29.18,23.555,23.22,29.447,31.621,0.2767984030147535,0.4166181359990534,0.42066625879670255,0.36764162109634796,0.29577203712577826,0.36121806246732974,0.3987771565879121,0.27994664031620553,0.3318913043478261,141.653,61.068,0.36013122899521105,0.3796053589688273,0.2937985507246377,202.721,0.36587003688139275,202.721,202.721,44.399,41.038000000000004,41.256,62.679,13.349
RFM,0.11682028985507245,0.07506345371814324,0.074,0.826,0.084,0.091,0.118,80.606,0.11682028985507246,2.686866666666666,0.0887,0.09296666666666667,0.0931,0.0934,0.09146666666666665,0.0903,0.08783333333333333,0.12876666666666667,0.2086,0.18313333333333331,0.16206666666666666,0.1427,0.09916666666666667,0.0988,0.0983,0.09596666666666667,0.09806666666666668,0.10493333333333334,0.09753333333333333,0.10416666666666667,0.17163333333333333,0.1412,0.11406666666666668,2.661,2.789,2.793,2.802,2.7439999999999998,2.709,2.635,3.863,6.258,5.494,4.862,4.281,2.975,2.964,2.949,2.879,2.942,3.148,2.926,3.125,5.149,4.236,3.422,2.661,2.789,2.793,2.802,2.7439999999999998,2.709,2.635,3.863,6.258,5.494,4.862,4.281,2.975,2.964,2.949,2.879,2.942,3.148,2.926,3.125,5.149,4.236,3.422,0.12887500000000002,0.13069444444444445,0.09912499999999999,0.13276666666666667,0.09192666666666666,15.465,23.525,11.895,15.932000000000002,13.789,0.05709952755806554,0.0633594434228185,0.01396209790662517,0.03799922807772619,0.002208064773830304,0.11915652173913042,0.11645217391304348,0.11269565217391304,0.11274999999999999,0.12258695652173913,0.12259782608695652,0.1110108695652174,13.703,13.392,10.368,10.373,11.278,11.279,10.213000000000001,0.07227306786537271,0.06396767871879706,0.04638603880774141,0.052392773807584836,0.090666900581001,0.1095615698027358,0.07568565624920556,0.11682608695652173,0.11680434782608697,59.114,21.492,0.06693269407356094,0.09408149462708558,0.11682028985507245,80.606,0.07506345371814323,80.606,80.606,17.991,19.934,19.066,17.918,5.697
RTF,0.33323188405797105,0.3492489409927306,0.081,2.066,0.098,0.1685,0.456,229.93,0.333231884057971,7.6643333333333326,0.15066666666666664,0.14566666666666667,0.1968,0.17823333333333333,0.10043333333333333,0.09316666666666666,0.32816666666666666,0.5141333333333333,0.3352333333333333,0.33193333333333336,0.2809666666666667,0.2859666666666667,0.31426666666666664,0.8394999999999999,0.5950333333333333,0.463,0.3922333333333333,0.2588333333333333,0.22483333333333333,0.2126,0.27580000000000005,0.7535000000000001,0.3933666666666667,4.52,4.37,5.904,5.3469999999999995,3.013,2.795,9.845,15.424,10.057,9.958,8.429,8.579,9.427999999999999,25.185,17.851,13.89,11.767,7.765,6.745,6.378,8.274000000000001,22.605,11.801,4.52,4.37,5.904,5.3469999999999995,3.013,2.795,9.845,15.424,10.057,9.958,8.429,8.579,9.427999999999999,25.185,17.851,13.89,11.767,7.765,6.745,6.378,8.274000000000001,22.605,11.801,0.317675,0.4412777777777778,0.33472499999999994,0.4088166666666667,0.15436,38.121,79.42999999999999,40.166999999999994,49.05800000000001,23.153999999999996,0.13274169192049337,0.1438009419240075,0.11466014119153134,0.13710128595224583,0.05717043961916948,0.404,0.39098260869565216,0.3815,0.40198913043478257,0.2817826086956522,0.2346086956521739,0.2056304347826087,46.46,44.963,35.098,36.983,25.924,21.584,18.918,0.386614931505701,0.4080183600661001,0.36711295683607126,0.41391278198353026,0.2970389705474506,0.23109295767805182,0.1825843004090243,0.37436363636363634,0.22011956521739132,189.428,40.502,0.379938413693351,0.2081936017027754,0.33323188405797105,229.93,0.34924894099273085,229.93,229.93,54.822,54.455999999999996,43.82,56.352,20.48
