archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,Mañana,Mediodia,Tarde,Noche,Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,invierno,2024-12,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05
ABLD,0.2404712482468443,0.25819389886467053,0.039,1.855,0.067,0.144,0.279,171.456,0.24047124824684435,0.12309677419354838,0.08183870967741935,0.06899999999999999,0.0644516129032258,0.07051612903225807,0.08241935483870969,0.15616129032258066,0.18696774193548388,0.2870322580645161,0.1790967741935484,0.255,0.19974193548387098,0.19261290322580646,0.27906451612903227,0.5919677419354838,0.3808387096774194,0.2904193548387097,0.24603225806451612,0.22780645161290322,0.32964516129032256,0.4958387096774194,0.4301290322580645,0.31116129032258066,0.1781451612903226,0.2829139784946237,0.28627419354838707,0.39169354838709675,0.08178064516129033,0.2753478260869565,0.24057391304347828,0.21464130434782608,0.27780434782608693,0.2698478260869565,0.20232608695652174,0.20330434782608695,0.25585375494071144,0.2028695652173913,0.2404712482468443,171.456,2.6149999999999998,40.505,35.415,38.506,39.338,15.077
AJVG,0.4274682274247491,0.572229482870172,0.027,3.444,0.046,0.1055,0.682,255.62599999999998,0.4274682274247492,0.12826923076923077,0.11338461538461539,0.08823076923076924,0.0655,0.08419230769230769,0.06926923076923076,0.36200000000000004,0.6832307692307692,0.4717692307692308,0.20526923076923076,0.32742307692307693,0.3718076923076923,0.36103846153846153,0.35057692307692306,0.5312307692307692,0.4025769230769231,0.3389615384615385,0.3873076923076923,0.48596153846153844,0.8115384615384615,1.073653846153846,1.1615,0.957076923076923,0.3965673076923077,0.35789102564102565,0.4037019230769231,1.0009423076923076,0.09591538461538461,0.45620652173913046,0.538695652173913,0.47153260869565217,0.3691847826086957,0.3278695652173913,0.43072463768115943,0.3739782608695652,0.43821510297482835,0.39829813664596275,0.42746822742474916,255.626,9.324,47.749,77.265,77.567,43.721,
ATF,0.12887318840579712,0.1471954829654212,0.049,2.105,0.059,0.098,0.131,71.138,0.12887318840579712,0.08308333333333333,0.07683333333333334,0.07895833333333334,0.08041666666666666,0.08045833333333334,0.085625,0.08900000000000001,0.12183333333333334,0.12979166666666667,0.11699999999999999,0.11691666666666667,0.146625,0.18579166666666666,0.213125,0.2177083333333333,0.13412500000000002,0.11937500000000001,0.15975,0.14733333333333334,0.137,0.11787500000000001,0.19816666666666669,0.12729166666666666,0.1065625,0.16619444444444445,0.14014583333333336,0.14508333333333334,0.07995,0.12617391304347828,0.18764130434782605,0.12873913043478263,0.1262463768115942,0.09902898550724638,0.1218840579710145,0.1025,0.13631202046035806,0.11080745341614907,0.12887318840579712,71.138,3.024,16.533,22.664,16.607,12.31,
FJAG,0.619035593220339,1.1538058881776652,0.083,5.223,0.14425,0.233,0.46475,365.231,0.6139532887402452,0.18853846153846154,0.12561538461538463,0.12934615384615383,0.12938461538461538,0.12526923076923077,0.13103846153846155,0.23203846153846153,0.21361538461538462,0.7085769230769231,0.8823461538461538,1.0317692307692308,1.1288076923076924,1.5308076923076923,1.5851923076923078,1.0878846153846153,0.66804,0.7113200000000001,0.78268,0.6779999999999999,0.6344,0.55928,0.48672,0.48936,0.3213173076923077,1.207801282051282,0.71001,0.54244,0.13963076923076925,0.5829347826086957,0.3597717391304348,0.6536413043478261,0.3070952380952381,1.633840579710145,0.2738405797101449,0.6624021739130435,0.6652564102564102,0.4958757763975155,0.619035593220339,365.231,5.209,103.706,139.897,86.642,29.777,
FMB,0.26933380084151476,0.39197138337740595,0.024,2.683,0.048,0.14,0.261,192.03500000000003,0.26933380084151476,0.1065483870967742,0.09064516129032259,0.10429032258064516,0.0795483870967742,0.07316129032258065,0.05054838709677419,0.12396774193548386,0.10993548387096774,0.19858064516129031,0.2305483870967742,0.33738709677419354,0.3676774193548387,0.6027419354838709,0.6288709677419355,0.30148387096774193,0.2868709677419355,0.37132258064516127,0.41893548387096774,0.35277419354838707,0.4692903225806452,0.40254838709677415,0.2505483870967742,0.2364516129032258,0.12075806451612903,0.4114516129032258,0.35747580645161287,0.33970967741935487,0.09083870967741936,0.4019304347826087,0.2751130434782609,0.18114130434782608,0.1786304347826087,0.2098804347826087,0.2577717391304348,0.3308869565217391,0.2574466403162055,0.29839130434782607,0.2693338008415147,192.035,3.764,33.849,30.74,29.798000000000002,61.141,32.743
GPC,0.20656,0.24525246069581427,0.026,1.616,0.0685,0.107,0.222,118.77199999999999,0.20656,0.10183999999999999,0.07748000000000001,0.0782,0.056799999999999996,0.06704,0.06584,0.08884,0.304,0.22568,0.22940000000000002,0.18664000000000003,0.20584,0.16576000000000002,0.35908,0.4346,0.27732,0.19872,0.18312,0.24852,0.32996000000000003,0.40384,0.27136,0.191,0.17109,0.26355333333333336,0.22691999999999998,0.29904000000000003,0.07627199999999999,0.22416304347826088,0.16259782608695653,0.2281304347826087,0.1579855072463768,0.2264927536231884,0.2063478260869565,0.2329891304347826,0.20072222222222222,0.22157142857142859,0.20656000000000002,118.772,7.158,30.926,33.247,30.538,16.903,
JACL,0.11346409807355516,0.08961612102399243,0.036,0.864,0.0685,0.095,0.129,64.788,0.11325473684210526,0.13132,0.10279999999999999,0.07504,0.07783999999999999,0.08184000000000001,0.07336000000000001,0.07972,0.07708,0.09780000000000001,0.08976,0.11396,0.09863999999999999,0.1426,0.11576,0.31748,0.16283999999999998,0.10523999999999999,0.11156,0.09684,0.09616666666666666,0.11266666666666668,0.13129166666666667,0.11825000000000001,0.08199,0.14636666666666667,0.11911999999999999,0.11459375000000001,0.093768,0.11733695652173913,0.10825,0.1144090909090909,0.10200000000000001,0.11775362318840579,0.11784057971014493,0.116,0.11215853658536586,0.1167888198757764,0.11346409807355516,64.788,2.848,18.581,18.574,17.805,6.98,
JALG,0.32029235880398665,0.2623293155401519,0.053,1.67,0.133,0.228,0.426,192.81599999999997,0.3143554750402577,0.16,0.12433333333333332,0.12477777777777778,0.1108888888888889,0.12392307692307693,0.09915384615384615,0.12296153846153847,0.1606923076923077,0.251,0.3021153846153846,0.3712692307692308,0.4063076923076923,0.42,0.6,0.5363461538461538,0.4808461538461538,0.4226153846153846,0.42853846153846153,0.4153461538461538,0.41238461538461535,0.5241153846153845,0.5050384615384615,0.2933461538461538,0.15845192307692307,0.43933974358974365,0.4368365384615384,0.43372115384615384,0.1287846153846154,0.3292717391304348,0.29254347826086957,0.3335217391304348,0.29605434782608697,0.3284657534246575,0.30184057971014494,0.3574239130434783,0.3154331065759637,0.3336024844720497,0.3202923588039867,192.816,7.859,53.892,51.582,51.097,28.386,
JLG,0.14654090150250418,0.16988757224667203,0.04,1.262,0.051,0.098,0.16,87.778,0.14457326892109504,0.1037037037037037,0.05653846153846154,0.04996153846153846,0.05269230769230769,0.04807692307692308,0.048346153846153844,0.04692307692307692,0.046538461538461535,0.07526923076923077,0.1898076923076923,0.22242307692307695,0.19846153846153847,0.15357692307692308,0.222,0.2345,0.24115384615384614,0.20734615384615385,0.16403846153846155,0.17396153846153845,0.18276923076923077,0.17300000000000001,0.22515384615384615,0.25584615384615383,0.054269230769230764,0.20346153846153844,0.196625,0.20919230769230768,0.06219458689458689,0.12268478260869564,0.14146739130434782,0.1955434782608696,0.14294565217391303,0.1368285714285714,0.1413623188405797,0.14133695652173914,0.14844977168949772,0.14134782608695654,0.14654090150250418,87.778,3.349,21.453,20.229,23.323,19.424,
JMM,0.28340109890109894,0.25795575738764276,0.064,1.64,0.13025,0.199,0.31375,154.73700000000002,0.2846512148337596,0.204375,0.16625,0.14754166666666665,0.13075,0.10808333333333332,0.1215,0.11275,0.1485,0.20370833333333335,0.20633333333333334,0.2713333333333333,0.31966666666666665,0.4444166666666667,0.7856666666666667,0.402375,0.28841666666666665,0.34191666666666665,0.3667391304347826,0.5199565217391304,0.37365217391304345,0.30482608695652175,0.29256521739130437,0.2749130434782609,0.14661458333333335,0.40496527777777785,0.3792572463768116,0.3114891304347826,0.1514,0.30593478260869567,0.32389534883720933,0.23431884057971014,0.3007101449275362,0.26955072463768115,0.24759420289855072,0.2840869565217391,0.28965454545454544,0.2684472049689441,0.2834010989010989,154.737,3.986,44.806,45.211,44.711,16.023,
LFZA,0.1327095652173913,0.1574421551726868,0.014,1.91,0.076,0.099,0.135,76.30799999999999,0.1327095652173913,0.27228,0.199,0.13484,0.10332000000000001,0.09716,0.0934,0.11192,0.09284,0.0882,0.08932000000000001,0.10572,0.09808,0.08776,0.0992,0.09196,0.11072000000000001,0.1754,0.1494,0.22144000000000003,0.16508,0.13072,0.10724,0.22732,0.09659,0.09534,0.16424,0.15759,0.16132,0.13317391304347828,0.1401521739130435,0.11104347826086956,0.1384927536231884,0.1622463768115942,0.13621739130434785,0.11734782608695651,0.13553864734299517,0.12543478260869564,0.13270956521739133,76.308,3.356,21.026,21.348,23.396,7.182,
MANA,0.2633979933110368,0.27539697334446095,0.052,2.011,0.111,0.156,0.3135,157.512,0.2633979933110368,0.22292307692307695,0.12976923076923078,0.10753846153846153,0.12346153846153846,0.09926923076923076,0.10903846153846154,0.10511538461538462,0.10342307692307692,0.22776923076923075,0.24665384615384617,0.245,0.2164230769230769,0.314,0.3802692307692308,0.5240384615384616,0.2788846153846154,0.2758076923076923,0.3221923076923077,0.38973076923076927,0.331,0.32723076923076927,0.5464615384615384,0.43215384615384617,0.13633653846153845,0.32106410256410256,0.3166538461538462,0.40921153846153846,0.1365923076923077,0.30420652173913043,0.27192391304347824,0.26480434782608697,0.2523695652173913,0.2268695652173913,0.22220289855072464,0.28197826086956523,0.2659908466819222,0.25636024844720495,0.2633979933110368,157.512,7.414,39.5,39.545,39.545,31.508,
MBGV,0.2044608695652174,0.2177369783909578,0.047,1.728,0.073,0.109,0.252,117.565,0.2044608695652174,0.10388,0.0808,0.07352,0.0698,0.07600000000000001,0.08388,0.07336000000000001,0.24475999999999998,0.32244,0.23384,0.2288,0.18051999999999999,0.22984000000000002,0.2944,0.20756,0.18128,0.28836,0.26348,0.23916,0.24316,0.41928,0.34792,0.21655999999999997,0.18111,0.22916,0.24307,0.30672999999999995,0.0808,0.1941304347826087,0.17496739130434785,0.2212391304347826,0.2369130434782609,0.18034782608695651,0.2001159420289855,0.2245108695652174,0.20072946859903382,0.214055900621118,0.2044608695652174,117.565,4.058,33.297,31.24,36.675,12.295,
MJS,1.2905,0.6809193637005092,0.136,3.622,0.667,1.35,1.818,751.071,1.2840066093326963,0.6008076923076924,0.5588461538461538,0.7087307692307692,0.5978076923076923,0.5825769230769231,1.1423076923076922,1.5468461538461538,1.7293461538461539,1.8513461538461538,1.8525200000000002,1.2152,0.9259999999999999,1.14004,1.8094,1.563125,1.5187916666666668,1.02164,1.33508,1.80912,1.7524000000000002,1.9494,1.72084,0.8612000000000001,1.5674615384615385,1.4177141666666666,1.4211579166666666,1.5709600000000001,0.6097538461538461,1.3865652173913043,1.227836956521739,1.2321630434782609,1.3138333333333334,1.2724202898550725,1.1711449275362318,1.4011333333333333,1.2864302600472812,1.3013270440251572,1.2905,751.071,30.306,175.142,223.091,224.766,97.766,
MTTA,0.3542959326788219,0.38221252059077687,0.032,3.227,0.123,0.226,0.411,252.61300000000003,0.3542959326788219,0.4750645161290323,0.44964516129032256,0.40180645161290324,0.2979032258064516,0.18990322580645164,0.14312903225806453,0.16751612903225804,0.31929032258064516,0.3133225806451613,0.33261290322580644,0.35774193548387095,0.3510967741935484,0.3325806451612903,0.3108064516129032,0.5131290322580645,0.6359354838709677,0.3345483870967742,0.2943225806451613,0.3096129032258065,0.3594516129032258,0.3935161290322581,0.35664516129032253,0.5092258064516129,0.23581451612903226,0.3663279569892473,0.39360483870967744,0.4047096774193548,0.36286451612903226,0.371295652173913,0.4359217391304348,0.3764565217391304,0.26021739130434784,0.42038043478260867,0.2986304347826087,0.30486956521739134,0.3756501976284585,0.3020966183574879,0.35429593267882187,252.613,5.606,40.367,64.824,61.703,66.85,13.263
PAA,0.44442474916387953,0.5188656034353492,0.042,3.107,0.071,0.2135,0.66,265.76599999999996,0.44442474916387964,0.29465384615384616,0.12423076923076923,0.128,0.08038461538461537,0.07323076923076922,0.06942307692307692,0.07423076923076923,0.5630769230769231,0.26934615384615385,0.5016538461538461,0.6261538461538462,0.7171153846153846,0.5306153846153846,0.548923076923077,1.0027692307692306,0.6184999999999999,0.538923076923077,0.4965769230769231,0.5886923076923076,0.6104615384615385,0.6063846153846154,0.5376153846153846,0.6208076923076923,0.24401923076923077,0.6545384615384615,0.5606730769230769,0.5938173076923077,0.1401,0.4095434782608695,0.45670652173913046,0.5030760869565217,0.3267934782608696,0.30330434782608695,0.46215942028985507,0.6185434782608695,0.4049679633867277,0.5515217391304348,0.44442474916387964,265.766,20.298000000000002,66.6,73.669,65.666,39.533,
RFM,0.1434,0.1258143024845642,0.065,1.318,0.077,0.095,0.162,84.606,0.143088740245262,0.0968076923076923,0.09573076923076923,0.0983076923076923,0.08980769230769231,0.09226923076923077,0.08876923076923077,0.09103846153846154,0.1233846153846154,0.18776923076923074,0.18015384615384616,0.14126923076923076,0.1281923076923077,0.10657692307692307,0.24219230769230768,0.2296153846153846,0.11544,0.12344,0.1578,0.1552,0.19728,0.28812,0.15732,0.11808,0.12274038461538461,0.17133333333333334,0.13796999999999998,0.19019999999999998,0.09458461538461539,0.1676195652173913,0.12707608695652176,0.131,0.13910714285714287,0.14643478260869564,0.14784057971014494,0.14621739130434783,0.14208158508158508,0.14691304347826087,0.1434,84.606,1.753,27.188,16.685,27.086,11.894,
RTF,0.36879513888888893,0.35163498323858233,0.071,2.459,0.106,0.2355,0.51175,212.42600000000002,0.35938461538461536,0.18523076923076923,0.13124,0.13816,0.13992000000000002,0.10128,0.12304,0.25944,0.43976,0.32968,0.38467999999999997,0.34244,0.40304,0.41487999999999997,0.54264,0.6964,0.48019999999999996,0.39211999999999997,0.31772,0.41864000000000007,0.46,0.6666,0.72932,0.3932,0.28798,0.46401333333333333,0.40217,0.56228,0.13916615384615386,0.3344021739130435,0.46654347826086956,0.3775869565217391,0.4287285714285714,0.2986231884057971,0.34204347826086956,0.3237391304347826,0.3832313253012048,0.331583850931677,0.3687951388888889,212.426,7.688,65.569,56.827,56.311,26.031,
