archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2025-01,Enero,2024-12-30/2025-01-05,2025-01-06/2025-01-12,2025-01-13/2025-01-19,2025-01-20/2025-01-26,2025-01-27/2025-02-02
ABLD,0.23813575268817205,0.2716220289922885,0.031,1.488,0.062,0.109,0.30725,177.173,0.23813575268817205,5.715258064516129,0.10770967741935483,0.07425806451612903,0.07564516129032257,0.07435483870967742,0.06748387096774194,0.0687741935483871,0.09216129032258065,0.14151612903225808,0.27106451612903226,0.17906451612903226,0.23470967741935483,0.23361290322580644,0.30548387096774193,0.27699999999999997,0.5160322580645161,0.3390645161290322,0.25783870967741934,0.20935483870967742,0.2527741935483871,0.38661290322580644,0.603741935483871,0.4334516129032258,0.3239354838709677,0.18961290322580646,3.339,2.302,2.3449999999999998,2.305,2.092,2.132,2.857,4.3870000000000005,8.403,5.551,7.276,7.242,9.47,8.587,15.997,10.511,7.993,6.49,7.836,11.985,18.716,13.437,10.042,5.878,3.339,2.302,2.3449999999999998,2.305,2.092,2.132,2.857,4.3870000000000005,8.403,5.551,7.276,7.242,9.47,8.587,15.997,10.511,7.993,6.49,7.836,11.985,18.716,13.437,10.042,5.878,0.1709516129032258,0.3176505376344086,0.27664516129032257,0.3876854838709678,0.07803763440860215,21.198,59.083,34.304,48.073,14.515,0.07622472129052316,0.04780845034036577,0.05736099992884905,0.12111966403226711,0.02466256673018491,0.24171874999999998,0.25705208333333335,0.31077499999999997,0.18475833333333333,0.19995,0.20339583333333333,0.27403125,23.205,24.677,37.293,22.171,23.994,19.526,26.307,0.2619295888964698,0.28975497342960826,0.30269641064407543,0.1973876021339499,0.25454328353597805,0.24551863383744116,0.32317342429576823,0.23793478260869566,0.23871354166666667,131.34,45.833,0.2658050322289072,0.2884144527751511,0.23813575268817205,177.173,0.27162202899228866,177.173,177.173,15.696,45.087,42.622,44.445,29.323
AJVG,0.3634637096774193,0.6054412681945763,0.028,3.691,0.04,0.057,0.2965,270.417,0.3634637096774193,8.723129032258065,0.12012903225806452,0.10296774193548387,0.07774193548387097,0.06719354838709678,0.06758064516129032,0.08122580645161291,0.26896774193548384,0.9848064516129033,0.5775483870967741,0.1868064516129032,0.14993548387096772,0.20583870967741935,0.2334516129032258,0.13490322580645162,0.12164516129032257,0.10767741935483871,0.09509677419354838,0.21216129032258063,0.3841935483870968,0.9789032258064516,1.0796129032258066,1.0986774193548385,0.9340645161290323,0.452,3.724,3.192,2.41,2.083,2.095,2.5180000000000002,8.338,30.529,17.904,5.7909999999999995,4.648,6.381,7.237,4.182,3.771,3.338,2.948,6.577,11.91,30.346,33.468,34.059,28.956,14.012,3.724,3.192,2.41,2.083,2.095,2.5180000000000002,8.338,30.529,17.904,5.7909999999999995,4.648,6.381,7.237,4.182,3.771,3.338,2.948,6.577,11.91,30.346,33.468,34.059,28.956,14.012,0.5045322580645161,0.15890860215053762,0.41758870967741935,0.8910887096774194,0.08613978494623657,62.562,29.557000000000002,51.781000000000006,110.495,16.022000000000002,0.19166713372953192,0.0897627370064157,0.3964898847612534,0.2670082753001184,0.02311164607017174,0.43796875,0.4888020833333333,0.47618333333333335,0.30870833333333336,0.333175,0.17159375,0.3208958333333333,42.045,46.925,57.142,37.045,39.981,16.473,30.806,0.6471907788869645,0.786595751454418,0.6733447053009793,0.553387040629517,0.5528350410050227,0.29857858273122934,0.5694325056657479,0.4042355072463768,0.24624479166666668,223.138,47.279,0.6439083156997805,0.45958788444968895,0.3634637096774193,270.417,0.6054412681945763,270.417,270.417,11.879999999999999,60.889,85.392,59.866,52.39
ATF,0.1244690860215054,0.10579692633424922,0.049,0.917,0.061,0.0965,0.14125,92.60500000000002,0.12446908602150537,2.9872580645161286,0.11774193548387096,0.09167741935483871,0.08893548387096775,0.07835483870967741,0.07861290322580644,0.08325806451612904,0.08696774193548387,0.1305483870967742,0.1399032258064516,0.16116129032258067,0.11970967741935483,0.14061290322580644,0.1587741935483871,0.18516129032258066,0.14070967741935483,0.13306451612903225,0.11493548387096775,0.11809677419354839,0.13741935483870968,0.11664516129032258,0.127,0.16112903225806452,0.1458709677419355,0.13096774193548386,3.65,2.842,2.757,2.429,2.437,2.581,2.696,4.047,4.337,4.996,3.711,4.359,4.922,5.74,4.362,4.125,3.563,3.661,4.26,3.616,3.9370000000000003,4.995,4.522,4.06,3.65,2.842,2.757,2.429,2.437,2.581,2.696,4.047,4.337,4.996,3.711,4.359,4.922,5.74,4.362,4.125,3.563,3.661,4.26,3.616,3.9370000000000003,4.995,4.522,4.06,0.12964516129032258,0.14633870967741935,0.1217741935483871,0.14124193548387098,0.08976344086021504,16.076,27.219,15.1,17.514,16.696,0.06320943378344736,0.05213180847885901,0.03597573118164072,0.03044819249401725,0.03297912415727023,0.12811458333333334,0.12133333333333333,0.13392500000000002,0.16179166666666667,0.135875,0.09196875,0.08372916666666667,12.299,11.648,16.071,19.415,16.305,8.829,8.038,0.1066144919340278,0.06629783939746398,0.0840400227282696,0.1672841840978988,0.11144170292695864,0.0766692765097357,0.04047909900356418,0.13720652173913042,0.08784895833333334,75.738,16.867,0.11472373868878549,0.06128418993575773,0.12446908602150539,92.605,0.10579692633424924,92.605,92.605,17.378,15.613,23.599,16.796,19.219
FJAG,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMB,0.2801008064516129,0.3782101067456697,0.024,2.537,0.051,0.1685,0.28325,208.39499999999998,0.28010080645161284,6.722419354838709,0.12080645161290322,0.1086774193548387,0.0706774193548387,0.08290322580645162,0.09296774193548388,0.07809677419354838,0.12758064516129033,0.07996774193548388,0.2963870967741935,0.4027741935483871,0.45829032258064517,0.4433548387096774,0.3476774193548387,0.5442903225806452,0.39341935483870966,0.33799999999999997,0.3644516129032258,0.41870967741935483,0.5094193548387097,0.49641935483870964,0.2783548387096774,0.22964516129032259,0.21193548387096775,0.22761290322580646,3.745,3.3689999999999998,2.191,2.5700000000000003,2.882,2.421,3.955,2.479,9.187999999999999,12.486,14.207,13.744,10.778,16.873,12.196,10.478,11.298,12.98,15.792,15.389,8.629,7.119,6.57,7.056,3.745,3.3689999999999998,2.191,2.5700000000000003,2.882,2.421,3.955,2.479,9.187999999999999,12.486,14.207,13.744,10.778,16.873,12.196,10.478,11.298,12.98,15.792,15.389,8.629,7.119,6.57,7.056,0.2266774193548387,0.4208387096774194,0.44725,0.23688709677419356,0.09235483870967742,28.108,78.276,55.459,29.374,17.178,0.23911066824192762,0.09874393081135305,0.07028154979004052,0.03763141270620822,0.03862716331354859,0.34595833333333337,0.32186458333333334,0.30880833333333335,0.23645,0.28221666666666667,0.24940625000000002,0.21920833333333334,33.212,30.899,37.057,28.374,33.866,23.943,21.044,0.46386547316326787,0.39802083044647074,0.42297490431214824,0.3237608529701615,0.3381412907247461,0.3159600433807381,0.36385777778706385,0.2960289855072464,0.23430729166666667,163.408,44.987,0.3895951771546033,0.34019534632888604,0.2801008064516129,208.395,0.37821010674566935,208.395,208.395,40.769,58.175,47.533,36.84,25.078
GPC,0.18746505376344086,0.22857820562189837,0.027,1.973,0.06,0.097,0.19625,139.474,0.18746505376344086,4.49916129032258,0.11596774193548388,0.08493548387096775,0.10167741935483872,0.05929032258064516,0.07045161290322581,0.06383870967741936,0.12293548387096774,0.31661290322580643,0.19970967741935483,0.24445161290322578,0.24319354838709675,0.1646774193548387,0.16032258064516128,0.26712903225806456,0.3920967741935484,0.27596774193548385,0.24109677419354839,0.14429032258064517,0.20864516129032257,0.3288387096774194,0.36632258064516127,0.16712903225806452,0.07903225806451614,0.08054838709677418,3.595,2.633,3.152,1.838,2.184,1.979,3.811,9.815,6.191,7.577999999999999,7.539,5.1049999999999995,4.97,8.281,12.155,8.555,7.474,4.473,6.468,10.194,11.356,5.181,2.45,2.497,3.595,2.633,3.152,1.838,2.184,1.979,3.811,9.815,6.191,7.577999999999999,7.539,5.1049999999999995,4.97,8.281,12.155,8.555,7.474,4.473,6.468,10.194,11.356,5.181,2.45,2.497,0.2209274193548387,0.25056451612903224,0.2307177419354839,0.17325806451612905,0.08269354838709679,27.395,46.605,28.609,21.483999999999998,15.381,0.10620420306955615,0.05388639773091358,0.11293497106193454,0.10644460351393722,0.057267685660290085,0.17208333333333334,0.1816875,0.21599166666666667,0.1909583333333333,0.14303333333333335,0.15708333333333332,0.25452083333333336,16.52,17.442,25.919,22.915,17.164,15.08,24.434,0.20032892250741646,0.1900207917986594,0.24647547462950045,0.24647414154628963,0.16534013494638752,0.19576348063639756,0.31360330218342863,0.18108695652173912,0.20580208333333336,99.96,39.514,0.21425532975129583,0.26526091550408687,0.18746505376344086,139.474,0.22857820562189837,139.474,139.474,22.474,28.775,30.209,36.928,21.088
JACL,0.11995161290322581,0.1061090011826732,0.035,1.203,0.074,0.102,0.135,89.244,0.1199516129032258,2.8788387096774195,0.126,0.10241935483870968,0.07319354838709678,0.07283870967741936,0.07238709677419355,0.08412903225806452,0.06780645161290322,0.07203225806451613,0.10316129032258065,0.10429032258064516,0.15706451612903224,0.11374193548387096,0.12300000000000001,0.12087096774193548,0.4175483870967742,0.15283870967741933,0.11996774193548386,0.08909677419354839,0.1145483870967742,0.12235483870967742,0.09803225806451614,0.12193548387096775,0.13661290322580646,0.11296774193548387,3.906,3.175,2.269,2.258,2.244,2.608,2.102,2.233,3.198,3.233,4.869,3.526,3.813,3.747,12.944,4.7379999999999995,3.719,2.762,3.551,3.793,3.039,3.7800000000000002,4.235,3.502,3.906,3.175,2.269,2.258,2.244,2.608,2.102,2.233,3.198,3.233,4.869,3.526,3.813,3.747,12.944,4.7379999999999995,3.719,2.762,3.551,3.793,3.039,3.7800000000000002,4.235,3.502,0.0868225806451613,0.18084408602150537,0.11149193548387099,0.11738709677419357,0.08849462365591398,10.766,33.637,13.825,14.556000000000001,16.46,0.013912320008437385,0.09943932527199642,0.00838546104045858,0.004932643663400639,0.005977617461974261,0.12948958333333335,0.10727083333333333,0.12324166666666667,0.10635,0.11415833333333333,0.128875,0.13430208333333335,12.431000000000001,10.298,14.789,12.762,13.699,12.372,12.893,0.08938585721073691,0.07092508711630985,0.10248328380464668,0.05035264715613521,0.08688725388660401,0.15227096692548142,0.15883981469535946,0.11590398550724637,0.13158854166666667,63.979,25.265,0.08227149415178457,0.1552060696509671,0.11995161290322581,89.244,0.1061090011826732,89.244,89.244,15.744,19.519,20.247,19.273,14.461
JALG,0.313130376344086,0.25208408933039084,0.047,1.644,0.138,0.2355,0.40225,232.969,0.31313037634408614,7.515129032258063,0.1854193548387097,0.13145161290322582,0.1272258064516129,0.11132258064516129,0.11716129032258064,0.11551612903225807,0.11219354838709678,0.16170967741935482,0.2869677419354839,0.3595483870967742,0.32883870967741935,0.2677741935483871,0.40974193548387094,0.4372903225806452,0.4684193548387097,0.4213548387096774,0.4258064516129032,0.4189032258064516,0.4103225806451613,0.39803225806451614,0.5449677419354838,0.614,0.34541935483870967,0.315741935483871,5.748,4.075,3.944,3.451,3.632,3.581,3.478,5.013,8.896,11.146,10.193999999999999,8.301,12.702,13.556000000000001,14.521,13.062,13.2,12.986,12.72,12.339,16.894,19.034,10.708,9.788,5.748,4.075,3.944,3.451,3.632,3.581,3.478,5.013,8.896,11.146,10.193999999999999,8.301,12.702,13.556000000000001,14.521,13.062,13.2,12.986,12.72,12.339,16.894,19.034,10.708,9.788,0.2301048387096774,0.3889032258064516,0.41326612903225807,0.4550322580645161,0.1313494623655914,28.533,72.336,51.245,56.42399999999999,24.431,0.11491023958641862,0.07093314968767822,0.032959894377432665,0.12050827525529131,0.017637082079121114,0.32725,0.3131041666666667,0.287025,0.31633333333333336,0.3077166666666667,0.2709270833333333,0.3766354166666667,31.416,30.058,34.443,37.96,36.926,26.009,36.157000000000004,0.26382813384953147,0.27400835481563685,0.2075208387835105,0.2534716046063872,0.25671428002475327,0.17307687642636949,0.31368160591649435,0.30942572463768114,0.32378124999999996,170.803,62.166,0.25006652093109344,0.2581628692921424,0.313130376344086,232.969,0.25208408933039084,232.969,232.969,37.064,50.996,55.109,52.375,37.425
